u,v,mismatches,fallback,region,pinned,rounds,pops,changed,insert_us,error
8522,17120,0,0,2786,40037,1,6700,13,359732.0,
190,381,0,0,1026,29571,1,1141,2,338696.0,
31,42330,0,0,0,0,0,0,0,8.0,
27343,44294,0,0,4,16,1,10,1,328.0,
762,4272,0,0,741,26420,1,5705,2,425927.0,
633,5405,0,0,542,22693,1,8849,1,512440.0,
547,4558,0,0,537,22672,1,7503,1,1128539.0,
273,7183,0,0,0,0,0,0,0,2.0,
24969,39365,0,0,0,0,0,0,0,1.0,
174,3889,0,0,1447,33424,1,6137,5,366388.0,
12113,22184,0,0,0,0,0,0,0,1.0,
26965,45416,0,0,0,0,0,0,0,1.0,
4125,26037,0,0,1556,34015,1,35571,1,461298.0,
148,353,0,0,1335,30481,1,2339,5,282580.0,
5806,6259,0,0,1446,33582,1,3577,1,324735.0,
2118,25891,0,0,1037,29712,1,9956,1,523895.0,
41,8352,0,0,238,16417,1,5485,2,287520.0,
40,1979,0,0,2473,38564,1,4395,1,354841.0,
158,409,0,0,1495,33087,1,3091,17,400680.0,
535,15522,0,0,0,0,0,0,0,1.0,
589,4217,0,0,901,19603,1,8854,2,41198.0,
3243,21560,0,0,769,26924,1,17571,6,742902.0,
6226,11601,0,0,2,91,1,3,1,1540569.0,
36,56,0,0,1809,35170,1,6530,9,392133.0,
4464,6811,0,0,749,26433,1,3324,1,357410.0,
488,707,0,0,1131,30628,1,1310,1,401691.0,
18897,34418,0,0,0,0,0,0,0,2.0,
9152,58271,0,0,338,12020,1,7099,1,18674.0,
16127,40141,0,0,3,5,1,7,3,305.0,
4125,14941,0,0,1556,34018,1,9827,1,519195.0,
2104,6153,0,0,393,20359,1,11243,1,1537430.0,
540,9612,0,0,0,0,0,0,0,2.0,
2416,6069,0,0,627,24748,1,9482,1,1165678.0,
5752,10260,0,0,2,35,1,6,1,26047.0,
783,3933,0,0,1688,34578,1,2878,2,409184.0,
14,1141,0,0,2355,37877,1,12746,117,479153.0,
40200,40202,0,0,2,23,1,16,1,3007.0,
324,51128,0,0,0,0,0,0,0,1.0,
15730,27994,0,0,0,0,0,0,0,2.0,
2122,8380,0,0,2728,40026,1,4326,1,353049.0,
1283,2927,0,0,1106,29940,1,5039,2,542197.0,
779,6787,0,0,1108,29986,1,4553,1,531617.0,
317,3886,0,0,274,17608,1,2773,1,227056.0,
530,2393,0,0,1705,34662,1,3538,3,355766.0,
46382,61096,0,0,0,0,0,0,0,1.0,
1226,3691,0,0,1042,28163,1,2619,1,295656.0,
174,1470,0,0,1621,33504,1,4418,21,371665.0,
157,557,0,0,1032,30204,1,2486,11,328586.0,
1749,1822,0,0,800,27186,1,2851,1,546842.0,
163,4984,0,0,1413,32618,1,2116,1,355009.0,
1514,1756,0,0,0,0,0,0,0,1.0,
1365,9710,0,0,687,25750,1,6868,1,854563.0,
6318,20445,0,0,0,0,0,0,0,1.0,
715,50241,0,0,0,0,0,0,0,1.0,
64,154,0,0,1285,31535,1,5105,31,425927.0,
22796,33343,0,0,2,18,1,10,1,1722316.0,
2548,47472,0,0,0,0,0,0,0,1.0,
3889,10452,0,0,1267,31623,1,9675,1,341259.0,
226,417,0,0,853,28345,1,3674,8,480413.0,
1722,2770,0,0,0,0,0,0,0,1.0,
132,16742,0,0,196,15141,1,7672,4,1367385.0,
4256,6409,0,0,0,0,0,0,0,1.0,
956,4664,0,0,883,28882,1,4529,1,496030.0,
7866,11469,0,0,0,0,0,0,0,4.0,
7201,14986,0,0,1942,36193,1,2749,3,362485.0,
1530,7705,0,0,2,672,1,618,1,41733.0,
4977,47920,0,0,2,40,1,8,1,1597986.0,
464,722,0,0,1624,33698,1,3444,25,363870.0,
16736,23715,0,0,2,54,1,3,1,1091773.0,
119,1724,0,0,1618,34248,1,2385,1,377573.0,
69,2757,0,0,2,242,1,134,1,142413.0,
10304,20192,0,0,0,0,0,0,0,1.0,
565,661,0,0,1355,32053,1,6748,20,421362.0,
73500,73501,0,0,0,0,0,0,0,1.0,
933,1326,0,0,885,28462,1,4561,3,410019.0,
134,5246,0,0,603,24372,1,3334,2,909989.0,
593,1173,0,0,1982,36515,1,2518,19,427389.0,
173,1371,0,0,8,974,1,566,3,1754155.0,
1752,4388,0,0,1418,32545,1,3981,32,449564.0,
